Cooperate Rate,Average Reward
random,0
0.4,1.6
0.3,1.6
0.3,1.6
0.4,1.6
0.3,1.6
0.4,1.6
0.4,1.6
0.1,1.6
0.5,1.6
0.5,1.6
0.5,1.6
0.7,1.6
0.4,1.6
0.4,1.6
0.7,1.6
0.5,1.6
0.6,1.6
0.3,1.6
0.5,1.6
0.6,1.6
popular,0
0.4,1.6
0.3,1.6
0.3,1.6
0.4,1.6
0.3,1.6
0.4,1.6
0.4,1.6
0.1,1.6
0.5,1.6
0.5,1.6
0.5,1.6
0.7,1.6
0.4,1.6
0.4,1.6
0.7,1.6
0.5,1.6
0.6,1.6
0.3,1.6
0.5,1.6
0.6,1.6
0.4,1.6
0.3,1.6
0.4,1.6
0.5,1.6
0.1,1.6
0.6,1.6
0.3,1.6
0.4,1.6
0.5,1.6
0.9,1.6
0.8,1.6
0.6,1.6
0.5,1.6
0.4,1.6
0.4,1.6
0.6,1.6
0.5,1.6
0.6,1.6
0.7,1.6
