Cooperate Rate,Average Reward
0.47,1.88
0.46,1.88
0.45,1.84
0.45,1.8
0.44,1.8
0.45,1.76
0.46,1.8
0.46,1.84
0.46,1.84
0.45,1.84
0.45,1.8
0.44,1.8
0.43,1.76
0.43,1.72
0.42,1.72
0.42,1.68
0.42,1.68
0.42,1.68
0.41,1.68
0.4,1.64
0.39,1.6
0.39,1.56
0.39,1.56
0.38,1.56
0.38,1.52
0.37,1.52
0.36,1.48
0.36,1.44
0.35,1.44
0.34,1.4
0.34,1.36
0.33,1.36
0.32,1.32
0.32,1.28
0.32,1.28
0.31,1.28
0.31,1.24
0.3,1.24
0.3,1.2
0.3,1.2
0.3,1.2
0.29,1.2
0.28,1.16
0.27,1.12
0.27,1.08
0.28,1.08
0.28,1.12
0.28,1.12
0.28,1.12
0.27,1.12
0.27,1.08
0.27,1.08
0.27,1.08
0.26,1.08
0.26,1.04
0.26,1.04
0.26,1.04
0.26,1.04
0.26,1.04
0.26,1.04
0.26,1.04
0.26,1.04
0.26,1.04
0.26,1.04
0.26,1.04
0.26,1.04
0.26,1.04
0.25,1.04
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.25,1.0
0.24,1.0
0.24,0.96
0.23,0.96
0.23,0.92
0.23,0.92
0.23,0.92
0.23,0.92
0.22,0.92
0.22,0.88
0.22,0.88
0.22,0.88
0.22,0.88
0.21,0.88
0.2,0.84
0.19,0.8
0.19,0.76
0.18,0.76
0.17,0.72
0.17,0.68
0.17,0.68
0.16,0.68
0.15,0.64
0.15,0.6
0.15,0.6
0.15,0.6
0.15,0.6
0.15,0.6
0.15,0.6
0.14,0.6
0.14,0.56
0.14,0.56
0.14,0.56
0.14,0.56
0.13,0.56
0.13,0.52
0.13,0.52
0.13,0.52
0.13,0.52
0.13,0.52
0.12,0.52
0.12,0.48
0.12,0.48
0.12,0.48
0.12,0.48
0.12,0.48
0.12,0.48
0.12,0.48
0.12,0.48
0.12,0.48
0.12,0.48
0.11,0.48
0.11,0.44
0.11,0.44
0.11,0.44
0.11,0.44
0.11,0.44
0.11,0.44
0.11,0.44
0.11,0.44
0.11,0.44
0.11,0.44
0.1,0.44
0.1,0.4
0.1,0.4
0.1,0.4
0.1,0.4
0.1,0.4
0.1,0.4
0.09,0.4
0.08,0.36
0.08,0.32
0.08,0.32
0.08,0.32
0.07,0.32
0.07,0.28
0.07,0.28
0.07,0.28
0.07,0.28
0.07,0.28
0.07,0.28
0.06,0.28
0.06,0.24
0.06,0.24
0.06,0.24
0.06,0.24
0.06,0.24
0.06,0.24
0.05,0.24
0.05,0.2
0.05,0.2
0.05,0.2
0.05,0.2
0.05,0.2
0.05,0.2
0.05,0.2
0.05,0.2
0.05,0.2
0.05,0.2
0.05,0.2
0.05,0.2
0.04,0.2
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.04,0.16
0.03,0.16
0.02,0.12
0.02,0.08
0.02,0.08
0.01,0.08
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.01,0.04
0.0,0.04
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
