Cooperate Rate,Average Reward
0.7,1.6
0.48,2.8
0.5,1.92
0.46,2.0
0.54,1.84
0.4,2.16
0.6,1.6
0.4,2.4
0.58,1.6
0.44,2.32
0.62,1.76
0.4,2.48
0.56,1.6
0.5,2.24
0.44,2.0
0.5,1.76
0.5,2.0
0.34,2.0
0.44,1.36
0.52,1.76
0.42,2.08
0.62,1.68
0.54,2.48
0.4,2.16
0.62,1.6
0.5,2.48
0.44,2.0
0.56,1.76
0.46,2.24
0.64,1.84
0.54,2.56
0.38,2.16
0.42,1.52
0.56,1.68
0.44,2.24
0.52,1.76
0.56,2.08
0.5,2.24
0.52,2.0
0.46,2.08
0.48,1.84
0.52,1.92
0.48,2.08
0.54,1.92
0.48,2.16
0.52,1.92
0.42,2.08
0.52,1.68
0.46,2.08
0.52,1.84
0.48,2.08
0.54,1.92
0.48,2.16
0.52,1.92
0.46,2.08
0.52,1.84
0.5,2.08
0.48,2.0
0.5,1.92
0.48,2.0
0.54,1.92
0.54,2.16
0.52,2.16
0.54,2.08
0.48,2.16
0.52,1.92
0.44,2.08
0.42,1.76
0.6,1.68
0.5,2.4
0.48,2.0
0.58,1.92
0.46,2.32
0.46,1.84
0.46,1.84
0.44,1.84
0.42,1.76
0.6,1.68
0.42,2.4
0.58,1.68
0.42,2.32
0.56,1.68
0.44,2.24
0.54,1.76
0.24,2.16
0.5,0.96
0.4,2.0
0.68,1.6
0.36,2.72
0.54,1.44
0.36,2.16
0.66,1.44
0.62,2.64
0.38,2.48
0.6,1.52
0.4,2.4
0.62,1.6
0.38,2.48
0.56,1.52
0.4,2.24
0.66,1.6
0.5,2.64
0.42,2.0
0.54,1.68
0.4,2.16
0.6,1.6
0.36,2.4
0.48,1.44
0.5,1.92
0.5,2.0
0.42,2.0
0.64,1.68
0.5,2.56
0.4,2.0
0.6,1.6
0.42,2.4
0.58,1.68
0.28,2.32
0.52,1.12
0.5,2.08
0.4,2.0
0.62,1.6
0.38,2.48
0.52,1.52
0.38,2.08
0.6,1.52
0.4,2.4
0.58,1.6
0.36,2.32
0.48,1.44
0.5,1.92
0.42,2.0
0.6,1.68
0.36,2.4
0.56,1.44
0.38,2.24
0.66,1.52
0.44,2.64
0.46,1.76
0.4,1.84
0.6,1.6
0.36,2.4
0.5,1.44
0.5,2.0
0.44,2.0
0.48,1.76
0.5,1.92
0.44,2.0
0.48,1.76
0.42,1.92
0.54,1.68
0.36,2.16
0.64,1.44
0.46,2.56
0.46,1.84
0.42,1.84
0.64,1.68
0.52,2.56
0.44,2.08
0.44,1.76
0.44,1.76
0.48,1.76
0.42,1.92
0.62,1.68
0.42,2.48
0.54,1.68
0.42,2.16
0.5,1.68
0.46,2.0
0.5,1.84
0.5,2.0
0.5,2.0
0.4,2.0
0.52,1.6
0.5,2.08
0.52,2.0
0.52,2.08
0.42,2.08
0.56,1.68
0.36,2.24
0.6,1.44
0.3,2.4
0.64,1.2
0.3,2.56
0.6,1.2
0.3,2.4
0.68,1.2
0.44,2.72
0.52,1.76
0.5,2.08
0.5,2.0
0.56,2.0
0.44,2.24
0.58,1.76
0.38,2.32
0.6,1.52
0.36,2.4
0.58,1.44
0.4,2.32
0.58,1.6
0.34,2.32
0.54,1.36
0.4,2.16
0.58,1.6
0.4,2.32
0.54,1.6
0.44,2.16
0.5,1.76
0.5,2.0
0.5,2.0
0.56,2.0
0.38,2.24
0.68,1.52
0.52,2.72
0.46,2.08
0.52,1.84
0.48,2.08
0.44,1.92
0.52,1.76
0.4,2.08
0.58,1.6
0.36,2.32
0.54,1.44
0.4,2.16
0.66,1.6
0.48,2.64
0.48,1.92
0.4,1.92
0.66,1.6
0.36,2.64
0.6,1.44
0.36,2.4
0.64,1.44
0.4,2.56
0.52,1.6
0.5,2.08
0.54,2.0
0.48,2.16
0.38,1.92
0.56,1.52
0.42,2.24
0.6,1.68
0.34,2.4
0.48,1.36
0.46,1.92
0.52,1.84
0.4,2.08
0.58,1.6
0.34,2.32
0.48,1.36
0.52,1.92
0.46,2.08
0.48,1.84
0.44,1.92
0.46,1.76
0.56,1.84
0.34,2.24
0.4,1.36
0.58,1.6
0.4,2.32
0.66,1.6
0.48,2.64
0.48,1.92
0.48,1.92
0.46,1.92
0.44,1.84
0.52,1.76
0.4,2.08
0.62,1.6
0.34,2.48
0.5,1.36
0.5,2.0
0.46,2.0
0.5,1.84
0.52,2.0
0.4,2.08
0.68,1.6
0.44,2.72
0.56,1.76
0.38,2.24
0.56,1.52
0.46,2.24
0.54,1.84
0.4,2.16
0.58,1.6
0.32,2.32
0.42,1.28
0.58,1.68
0.34,2.32
0.56,1.36
0.46,2.24
0.52,1.84
0.44,2.08
0.56,1.76
0.38,2.24
0.7,1.52
0.56,2.8
0.48,2.24
0.5,1.92
0.5,2.0
0.5,2.0
