Cooperate Rate,Average Reward
0.46,1.84
0.42,1.84
0.52,1.68
0.54,2.08
0.48,2.16
0.5,1.92
0.52,2.0
0.48,2.08
0.44,1.92
0.46,1.76
0.52,1.84
0.54,2.08
0.64,2.16
0.4,2.56
0.5,1.6
0.46,2.0
0.54,1.84
0.6,2.16
0.58,2.4
0.48,2.32
0.52,1.92
0.42,2.08
0.56,1.68
0.34,2.24
0.54,1.36
0.5,2.16
0.52,2.0
0.46,2.08
0.58,1.84
0.48,2.32
0.44,1.92
0.6,1.76
0.46,2.4
0.44,1.84
0.56,1.76
0.54,2.24
0.52,2.16
0.46,2.08
0.54,1.84
0.52,2.16
0.38,2.08
0.6,1.52
0.52,2.4
0.54,2.08
0.34,2.16
0.52,1.36
0.46,2.08
0.56,1.84
0.5,2.24
0.54,2.0
0.48,2.16
0.54,1.92
0.56,2.16
0.4,2.24
0.54,1.6
0.56,2.16
0.4,2.24
0.58,1.6
0.48,2.32
0.54,1.92
0.46,2.16
0.58,1.84
0.54,2.32
0.48,2.16
0.48,1.92
0.48,1.92
0.56,1.92
0.6,2.24
0.5,2.4
0.54,2.0
0.46,2.16
0.52,1.84
0.56,2.08
0.48,2.24
0.58,1.92
0.58,2.32
0.54,2.32
0.42,2.16
0.6,1.68
0.46,2.4
0.56,1.84
0.54,2.24
0.44,2.16
0.42,1.76
0.54,1.68
0.46,2.16
0.6,1.84
0.48,2.4
0.44,1.92
0.46,1.76
0.54,1.84
0.48,2.16
0.58,1.92
0.54,2.32
0.4,2.16
0.58,1.6
0.6,2.32
0.4,2.4
0.44,1.6
0.64,1.76
0.5,2.56
0.52,2.0
0.32,2.08
0.62,1.28
0.48,2.48
0.6,1.92
0.5,2.4
0.44,2.0
0.56,1.76
0.5,2.24
0.4,2.0
0.44,1.6
0.48,1.76
0.58,1.92
0.36,2.32
0.58,1.44
0.5,2.32
0.32,2.0
0.5,1.28
0.36,2.0
0.44,1.44
0.58,1.76
0.38,2.32
0.44,1.52
0.58,1.76
0.52,2.32
0.46,2.08
0.52,1.84
0.6,2.08
0.46,2.4
0.52,1.84
0.52,2.08
0.52,2.08
0.6,2.08
0.52,2.4
0.52,2.08
0.54,2.08
0.36,2.16
0.46,1.44
0.6,1.84
0.38,2.4
0.48,1.52
0.54,1.92
0.5,2.16
0.4,2.0
0.58,1.6
0.4,2.32
0.54,1.6
0.42,2.16
0.52,1.68
0.42,2.08
0.68,1.68
0.54,2.72
0.5,2.16
0.54,2.0
0.54,2.16
0.46,2.16
0.66,1.84
0.48,2.64
0.5,1.92
0.64,2.0
0.6,2.56
0.46,2.4
0.64,1.84
0.56,2.56
0.46,2.24
0.7,1.84
0.48,2.8
0.56,1.92
0.5,2.24
0.56,2.0
0.42,2.24
0.58,1.68
0.5,2.32
0.6,2.0
0.54,2.4
0.54,2.16
0.62,2.16
0.48,2.48
0.56,1.92
0.34,2.24
0.46,1.36
0.6,1.84
0.36,2.4
0.54,1.44
0.48,2.16
0.46,1.92
0.64,1.84
0.48,2.56
0.54,1.92
0.44,2.16
0.6,1.76
0.48,2.4
0.6,1.92
0.46,2.4
0.64,1.84
0.36,2.56
0.6,1.44
0.48,2.4
0.7,1.92
0.58,2.8
0.48,2.32
0.52,1.92
0.44,2.08
0.54,1.76
0.46,2.16
0.58,1.84
0.54,2.32
0.44,2.16
0.56,1.76
0.38,2.24
0.6,1.52
0.46,2.4
0.58,1.84
0.48,2.32
0.42,1.92
0.6,1.68
0.48,2.4
0.56,1.92
0.48,2.24
0.52,1.92
0.56,2.08
0.44,2.24
0.56,1.76
0.52,2.24
0.46,2.08
0.6,1.84
0.44,2.4
0.54,1.76
0.58,2.16
0.48,2.32
0.48,1.92
0.44,1.92
0.56,1.76
0.34,2.24
0.54,1.36
0.46,2.16
0.52,1.84
0.42,2.08
0.56,1.68
0.62,2.24
0.42,2.48
0.52,1.68
0.56,2.08
0.34,2.24
0.56,1.36
0.5,2.24
0.44,2.0
0.46,1.76
0.5,1.84
0.56,2.0
0.46,2.24
0.62,1.84
0.54,2.48
0.44,2.16
0.48,1.76
0.46,1.92
0.6,1.84
0.48,2.4
0.48,1.92
0.56,1.92
0.46,2.24
0.56,1.84
0.5,2.24
0.42,2.0
0.7,1.68
0.48,2.8
0.58,1.92
0.46,2.32
0.54,1.84
0.48,2.16
0.64,1.92
0.42,2.56
0.6,1.68
0.34,2.4
0.38,1.36
0.56,1.52
0.48,2.24
0.58,1.92
0.46,2.32
0.5,1.84
0.52,2.0
0.38,2.08
0.46,1.52
0.56,1.84
0.54,2.24
0.48,2.16
0.58,1.92
0.5,2.32
0.44,2.0
0.5,1.76
0.56,2.0
0.44,2.24
0.48,1.76
0.56,1.92
0.48,2.24
0.54,1.92
0.38,2.16
0.54,1.52
0.44,2.16
0.6,1.76
0.42,2.4
0.72,1.68
0.48,2.88
0.6,1.92
0.42,2.4
0.62,1.68
0.38,2.48
0.56,1.52
0.54,2.24
0.38,2.16
0.58,1.52
0.52,2.32
0.6,2.08
0.44,2.4
0.54,1.76
0.52,2.16
0.5,2.08
0.46,2.0
0.62,1.84
0.46,2.48
0.56,1.84
0.52,2.24
0.5,2.08
0.46,2.0
0.62,1.84
0.46,2.48
0.52,1.84
0.46,2.08
0.56,1.84
0.5,2.24
0.46,2.0
0.62,1.84
0.56,2.48
0.48,2.24
0.52,1.92
0.42,2.08
0.58,1.68
0.42,2.32
0.64,1.68
0.4,2.56
0.54,1.6
0.58,2.16
0.48,2.32
0.54,1.92
0.48,2.16
0.52,1.92
0.38,2.08
0.64,1.52
0.26,2.56
0.38,1.04
0.6,1.52
0.4,2.4
0.58,1.6
0.52,2.32
0.46,2.08
0.54,1.84
0.6,2.16
0.38,2.4
0.64,1.52
0.32,2.56
0.46,1.28
0.56,1.84
0.5,2.24
0.56,2.0
0.44,2.24
0.52,1.76
0.56,2.08
0.54,2.24
0.54,2.16
0.56,2.16
0.54,2.24
0.46,2.16
