Cooperate Rate,Average Reward
0.38,1.5200000000000011
0.38,1.5199999999999994
0.38,1.520000000000001
0.52,1.5200000000000005
0.4,2.079999999999999
0.54,1.5999999999999996
0.6,2.16
0.6,2.399999999999998
0.56,2.399999999999999
0.4,2.2399999999999998
0.42,1.6000000000000005
0.48,1.6799999999999995
0.56,1.920000000000001
0.54,2.240000000000001
0.54,2.16
0.46,2.1599999999999993
0.5,1.8399999999999983
0.42,1.9999999999999998
0.46,1.6800000000000015
0.5,1.8399999999999996
0.5,1.9999999999999987
0.5,2.0000000000000013
0.58,1.9999999999999982
0.42,2.32
0.56,1.6799999999999995
0.5,2.2399999999999998
0.5,1.9999999999999987
0.6,2.0000000000000013
0.48,2.3999999999999995
0.46,1.9199999999999997
0.64,1.839999999999999
0.4,2.559999999999999
0.56,1.6000000000000005
0.46,2.24
0.42,1.84
0.44,1.68
0.62,1.7599999999999993
0.46,2.4799999999999995
0.46,1.84
0.34,1.8400000000000003
0.48,1.3600000000000008
0.46,1.92
0.52,1.839999999999998
0.48,2.0799999999999987
0.54,1.9200000000000008
0.56,2.1599999999999997
0.58,2.2399999999999984
0.44,2.3200000000000007
0.54,1.76
0.52,2.1600000000000006
0.54,2.08
0.44,2.160000000000001
0.5,1.7599999999999991
0.46,2.0000000000000018
0.44,1.8400000000000007
0.58,1.760000000000001
0.56,2.32
0.56,2.2399999999999998
0.5,2.2399999999999993
0.46,1.9999999999999987
0.48,1.8400000000000014
0.56,1.9200000000000008
0.48,2.2399999999999998
0.5,1.920000000000001
0.52,1.9999999999999998
0.46,2.080000000000001
0.46,1.840000000000002
0.56,1.8399999999999983
0.52,2.2400000000000007
0.52,2.080000000000001
0.56,2.08
0.48,2.2400000000000015
0.42,1.9199999999999988
0.48,1.68
0.5,1.92
0.56,1.9999999999999993
0.52,2.2399999999999993
0.46,2.079999999999999
0.56,1.8399999999999992
0.46,2.2399999999999993
0.5,1.8399999999999992
0.46,2.000000000000001
0.46,1.8400000000000005
0.5,1.8399999999999996
0.48,1.9999999999999991
0.32,1.92
0.44,1.2800000000000011
0.52,1.76
0.48,2.08
0.52,1.9199999999999997
0.58,2.08
0.56,2.319999999999999
0.52,2.2400000000000024
0.4,2.08
0.38,1.5999999999999994
0.54,1.5200000000000005
0.52,2.159999999999999
0.42,2.0799999999999996
0.46,1.679999999999999
0.56,1.8400000000000014
0.48,2.2399999999999984
0.48,1.919999999999999
0.46,1.9199999999999995
0.56,1.8400000000000014
0.48,2.2399999999999998
0.52,1.9199999999999984
0.38,2.0799999999999996
0.58,1.520000000000001
0.5,2.3199999999999994
0.4,2.0000000000000013
0.52,1.6
0.44,2.0799999999999996
0.54,1.7600000000000011
0.54,2.160000000000002
0.54,2.16
0.56,2.1599999999999997
0.52,2.24
0.5,2.0799999999999987
0.48,2.000000000000001
0.54,1.9200000000000008
0.48,2.16
0.46,1.9199999999999984
0.44,1.8399999999999992
0.62,1.76
0.46,2.4800000000000004
0.54,1.839999999999999
0.5,2.1600000000000006
0.5,1.9999999999999993
0.52,1.9999999999999991
0.4,2.080000000000002
0.56,1.5999999999999994
0.54,2.24
0.38,2.160000000000002
0.52,1.5200000000000002
0.44,2.080000000000001
0.58,1.76
0.44,2.319999999999998
0.52,1.7600000000000013
0.36,2.0799999999999996
0.58,1.439999999999999
0.56,2.319999999999999
0.58,2.2400000000000007
0.52,2.3199999999999994
0.5,2.080000000000001
0.52,2.0
0.38,2.08
0.5,1.5199999999999982
0.58,2.0000000000000013
0.48,2.3200000000000007
0.48,1.9200000000000008
0.46,1.919999999999999
0.46,1.8400000000000003
0.56,1.8400000000000003
0.54,2.24
0.42,2.1600000000000006
0.42,1.6800000000000008
0.5,1.6800000000000015
0.54,1.9999999999999982
0.48,2.1599999999999993
0.5,1.9199999999999995
0.36,2.0000000000000004
0.56,1.44
0.54,2.24
0.42,2.1600000000000015
0.54,1.6800000000000006
0.38,2.1599999999999984
0.68,1.5200000000000005
0.4,2.719999999999999
0.58,1.5999999999999994
0.46,2.3199999999999985
0.48,1.8400000000000003
0.62,1.9200000000000015
0.44,2.480000000000001
0.56,1.7600000000000018
0.48,2.240000000000001
0.64,1.920000000000001
0.5,2.560000000000001
0.44,1.9999999999999987
0.44,1.7600000000000002
0.44,1.7599999999999998
0.52,1.7600000000000013
0.44,2.0799999999999987
0.44,1.7599999999999991
0.48,1.7600000000000013
0.54,1.9200000000000006
0.4,2.16
0.54,1.5999999999999983
0.4,2.160000000000001
0.6,1.6000000000000008
0.46,2.3999999999999995
0.52,1.8400000000000003
0.44,2.08
0.58,1.7600000000000002
0.46,2.3199999999999994
0.46,1.8399999999999992
0.54,1.8399999999999996
0.38,2.16
0.54,1.52
0.4,2.160000000000001
0.66,1.5999999999999992
0.52,2.639999999999999
0.48,2.080000000000001
0.56,1.9199999999999986
0.54,2.2399999999999998
0.36,2.1599999999999993
0.42,1.4400000000000015
0.56,1.6799999999999997
0.56,2.2400000000000007
0.44,2.2400000000000015
0.62,1.7600000000000002
0.54,2.480000000000001
0.42,2.159999999999998
0.46,1.6800000000000006
0.62,1.8400000000000014
0.48,2.4800000000000013
0.46,1.9199999999999988
0.56,1.8400000000000003
0.52,2.2399999999999993
0.38,2.0800000000000014
0.6,1.5200000000000005
0.54,2.4000000000000004
0.36,2.1599999999999997
0.54,1.4400000000000004
0.48,2.1599999999999997
0.56,1.9199999999999997
0.5,2.2400000000000015
0.48,2.000000000000001
0.52,1.9199999999999988
0.36,2.0800000000000005
0.36,1.4399999999999988
0.56,1.440000000000001
0.42,2.239999999999999
0.48,1.68
0.5,1.9199999999999995
0.5,1.9999999999999991
0.44,2.0000000000000004
0.56,1.7600000000000007
0.44,2.24
0.58,1.76
0.44,2.3199999999999994
0.64,1.760000000000001
0.48,2.5600000000000005
0.52,1.920000000000001
0.48,2.0799999999999996
0.56,1.920000000000001
0.46,2.2400000000000007
0.62,1.8400000000000003
0.4,2.48
0.66,1.5999999999999994
0.52,2.639999999999999
0.44,2.0800000000000005
0.6,1.7599999999999998
0.38,2.4
0.68,1.5200000000000002
0.52,2.7200000000000015
0.38,2.0800000000000005
0.64,1.5200000000000005
0.48,2.56
0.5,1.9199999999999984
0.46,2.0000000000000013
0.56,1.84
0.42,2.2399999999999993
0.52,1.6799999999999997
0.54,2.079999999999999
0.3,2.16
0.56,1.2000000000000006
0.58,2.2400000000000007
0.44,2.3200000000000007
0.58,1.7599999999999991
0.46,2.320000000000002
0.46,1.8400000000000007
0.56,1.8400000000000012
0.46,2.2399999999999993
0.6,1.8399999999999983
0.46,2.4
0.52,1.839999999999999
0.5,2.08
0.54,1.9999999999999991
0.38,2.1600000000000006
0.64,1.5200000000000005
0.32,2.5599999999999996
0.64,1.280000000000001
0.38,2.560000000000002
0.6,1.5200000000000005
0.44,2.3999999999999986
0.58,1.76
0.36,2.3199999999999994
0.56,1.4400000000000008
0.48,2.2399999999999993
0.52,1.9200000000000004
0.36,2.08
0.56,1.4400000000000008
0.44,2.2400000000000015
0.56,1.7600000000000007
0.38,2.2399999999999993
0.62,1.520000000000001
0.42,2.479999999999999
0.56,1.6800000000000004
0.48,2.239999999999999
0.52,1.920000000000001
0.44,2.079999999999999
0.48,1.760000000000001
0.5,1.9199999999999997
0.38,2.0000000000000004
0.62,1.5199999999999994
0.4,2.480000000000001
0.62,1.6000000000000005
0.38,2.4800000000000004
0.68,1.5200000000000011
0.48,2.7200000000000006
0.46,1.9199999999999984
0.6,1.8400000000000012
0.56,2.4000000000000012
0.56,2.24
0.46,2.240000000000002
0.48,1.8400000000000005
0.4,1.92
0.66,1.6000000000000005
0.54,2.6399999999999992
0.5,2.159999999999999
0.48,2.000000000000001
0.48,1.920000000000001
0.42,1.9200000000000004
0.54,1.6800000000000006
0.48,2.1600000000000006
0.5,1.9199999999999988
0.44,2.0000000000000004
0.58,1.759999999999998
0.5,2.3200000000000007
0.54,2.0000000000000004
0.46,2.16
0.56,1.8399999999999996
0.48,2.24
0.48,1.920000000000001
0.52,1.92
0.5,2.08
0.44,2.0
0.48,1.7599999999999998
0.5,1.92
0.52,2.0000000000000013
0.46,2.0799999999999983
0.46,1.839999999999999
0.64,1.8400000000000007
0.38,2.5599999999999996
0.64,1.52
0.38,2.5599999999999983
0.66,1.5200000000000005
0.54,2.6400000000000006
0.38,2.1599999999999993
0.48,1.5199999999999991
0.5,1.92
0.54,2.0000000000000004
0.38,2.1599999999999993
0.54,1.5199999999999998
0.46,2.160000000000001
0.58,1.8400000000000016
0.42,2.3200000000000007
0.64,1.6800000000000008
0.42,2.5599999999999987
0.64,1.6799999999999997
0.34,2.5600000000000005
0.52,1.36
0.44,2.0800000000000005
0.5,1.7599999999999991
0.5,2.0000000000000004
0.5,2.0000000000000013
0.5,2.0
0.48,2.0000000000000004
0.5,1.9199999999999984
0.46,2.000000000000001
0.56,1.8400000000000012
0.48,2.2399999999999998
0.48,1.9200000000000006
0.48,1.9199999999999995
0.46,1.920000000000001
0.58,1.8399999999999992
0.38,2.320000000000001
0.64,1.5200000000000005
0.4,2.56
0.6,1.6
0.44,2.399999999999998
0.6,1.759999999999999
0.48,2.4000000000000017
0.56,1.9200000000000004
0.46,2.24
0.48,1.8400000000000003
0.52,1.9199999999999988
0.42,2.08
0.66,1.6800000000000004
0.48,2.640000000000001
0.54,1.9200000000000006
0.44,2.160000000000001
0.5,1.76
0.48,1.9999999999999998
0.52,1.9200000000000017
0.44,2.08
0.54,1.7599999999999991
0.48,2.1599999999999984
0.5,1.919999999999999
0.48,1.9999999999999987
0.46,1.92
0.54,1.8400000000000003
0.46,2.1600000000000006
0.52,1.8400000000000003
0.52,2.0799999999999996
0.44,2.0799999999999996
0.54,1.7599999999999991
0.54,2.1600000000000006
0.44,2.16
0.48,1.7599999999999998
0.54,1.919999999999999
0.4,2.16
0.62,1.6000000000000016
0.34,2.4799999999999995
0.52,1.36
0.46,2.08
0.52,1.8400000000000014
0.5,2.08
0.5,2.0000000000000004
0.58,1.9999999999999993
0.42,2.3200000000000016
0.58,1.68
0.46,2.32
0.5,1.8400000000000007
0.52,2.0000000000000004
0.4,2.08
0.68,1.6000000000000008
0.6,2.7199999999999993
0.48,2.399999999999998
0.5,1.9199999999999995
0.44,2.000000000000001
0.52,1.760000000000001
0.48,2.0799999999999996
0.42,1.92
0.56,1.6800000000000004
0.46,2.2399999999999998
0.52,1.8400000000000003
0.48,2.08
0.5,1.9199999999999986
0.54,1.9999999999999998
0.44,2.1600000000000015
0.52,1.7599999999999991
0.44,2.08
0.52,1.759999999999999
0.38,2.0799999999999987
0.62,1.5199999999999994
0.48,2.4800000000000004
0.46,1.9199999999999988
0.5,1.84
0.48,2.0000000000000018
0.46,1.9199999999999988
0.52,1.8400000000000014
0.44,2.0800000000000005
0.52,1.760000000000001
0.44,2.0800000000000014
0.58,1.76
0.42,2.32
0.54,1.68
0.48,2.1599999999999993
0.58,1.919999999999999
0.44,2.3200000000000016
0.56,1.759999999999999
0.44,2.2400000000000007
0.54,1.760000000000001
0.54,2.1599999999999993
0.46,2.1600000000000015
0.5,1.8399999999999983
0.5,1.9999999999999993
0.6,1.9999999999999993
0.5,2.399999999999999
0.58,2.0000000000000004
0.4,2.3200000000000003
0.68,1.5999999999999992
0.42,2.7200000000000006
0.5,1.6799999999999997
0.5,2.0000000000000004
0.52,1.9999999999999993
0.44,2.080000000000001
0.56,1.7600000000000007
0.46,2.2400000000000007
0.56,1.8400000000000005
0.44,2.2399999999999984
0.5,1.7599999999999993
0.52,2.000000000000001
0.5,2.0799999999999996
0.54,1.999999999999999
0.48,2.1599999999999993
0.54,1.920000000000002
0.48,2.16
0.46,1.9200000000000006
0.48,1.8399999999999992
0.5,1.919999999999998
0.44,1.9999999999999991
0.46,1.7599999999999991
0.54,1.8399999999999996
